Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency,RIS Gain (dB),RIS Path Loss (dB)
FallL,3,281.5,1165,-144.6,2.8,249,-0.6,17.6,12,172.7,69.6,0,24.25,29.8328,142.8672
FallL,3,281.5,1168,-141.4,4.4,235,-8.4,202.7,6,149.8,33.9,0,24.25,40.459,109.341
FallL,3,281.5,1170,-146.6,5.9,250,-5.1,24.3,3,162.5,56.7,0,24.25,33.4522,129.0478
FallL,3,281.5,1173,-146.9,0.1,228,-12.4,29.2,3,170.9,74.8,0,24.25,45.3868,125.5132
FallL,3,281.5,1176,-154.3,1.6,249,-6.7,26.1,9,167.9,82.1,0,24.25,35.1562,132.7438
FallL,3,281.5,1179,-143.4,3.0,246,1.1,205.2,14,153.0,30.9,0,24.25,36.3656,116.6344
FallL,3,281.5,1182,-147.7,3.6,241,-5.3,215.7,12,158.7,47.9,0,24.25,43.4745,115.2255
FallL,3,281.5,1185,-152.2,4.8,221,-1.0,213.0,-5,176.4,108.5,0,24.25,47.6658,128.7342
FallL,3,281.5,1187,-149.4,1.6,247,-2.5,32.4,11,172.1,107.8,0,24.25,39.6471,132.4529
FallL,3,281.5,1190,-158.3,2.5,231,-7.4,31.7,20,164.7,36.5,0,24.25,45.5037,119.1963
FallL,3,281.5,1193,-149.2,0.5,246,-5.2,205.9,15,150.4,39.9,0,24.25,36.9156,113.4844
FallL,3,281.5,1256,-141.0,1.3,242,-7.3,15.2,3,167.3,89.1,0,24.25,33.7182,133.5818
FallL,3,281.5,1259,-145.8,5.6,242,-5.5,42.3,6,172.6,131.4,0,24.25,46.4179,126.1821
FallL,3,281.5,1264,-150.4,4.1,223,-3.8,210.0,14,157.2,36.9,0,24.25,48.117,109.083
FallL,3,281.5,1270,-148.9,4.0,242,-4.8,29.6,7,165.2,89.1,0,24.25,41.7752,123.4248
FallL,3,281.5,1276,-159.2,0.1,244,-4.7,19.8,4,166.9,84.4,0,24.25,35.5389,131.3611
FallL,3,281.5,1283,-159.6,1.2,235,-0.7,208.7,14,160.4,79.0,0,24.25,44.5401,115.8599
FallL,3,281.5,1290,-158.3,0.2,218,-3.7,198.1,20,166.9,33.1,0,24.25,46.8203,120.0797
FallL,3,281.5,1298,-152.7,5.0,237,-7.1,196.6,28,173.7,104.5,0,24.25,38.0159,135.6841
FallL,3,281.5,1306,-152.8,1.9,233,-4.0,200.4,14,155.0,79.2,0,24.25,42.1617,112.8383
FallL,3,281.5,1314,-153.3,3.1,232,-6.3,19.7,6,155.5,23.7,0,24.25,42.4091,113.0909
FallL,3,281.5,1323,-159.5,3.1,226,-7.3,205.2,31,176.8,97.0,0,24.25,47.0358,129.7642
FallH,1,476.0,1587,-143.2,1.3,151,1.7,63.0,4,173.1,12.9,0,24.25,1.1817,171.9183
FallH,1,476.0,1589,-148.1,2.2,139,-5.1,61.6,6,175.4,19.7,0,24.25,7.3906,168.0094
FallH,1,476.0,1592,-156.2,2.7,135,-5.4,85.2,-11,185.6,38.8,0,24.25,21.8869,163.7131
FallH,1,476.0,1594,-148.3,3.8,106,1.1,80.5,1,178.3,1.4,0,24.25,30.6235,147.6765
FallH,1,476.0,1599,-156.4,6.1,141,-6.3,68.9,16,185.8,13.3,0,24.25,10.4433,175.3567
FallH,1,476.0,1602,-147.9,2.0,140,-1.5,63.3,-13,177.8,2.3,0,24.25,7.8234,169.9766
FallH,1,476.0,1604,-153.7,3.6,143,-4.4,66.8,1,179.5,35.3,0,24.25,8.1166,171.3834
FallH,1,476.0,1609,-158.3,4.0,137,-4.2,68.9,4,180.8,21.5,0,24.25,12.7099,168.0901
FallH,1,476.0,1612,-156.5,3.8,121,-2.8,70.9,3,186.4,17.7,0,24.25,21.8769,164.5231
FallH,1,476.0,1614,-155.4,2.1,151,-6.5,71.3,-4,183.6,34.0,0,24.25,6.1016,177.4984
FallH,1,476.0,1617,-157.5,0.2,143,-2.1,61.7,-2,181.2,23.0,0,24.25,5.1662,176.0338
FallH,1,476.0,1619,-153.3,4.6,171,-3.3,72.0,3,183.2,21.4,0,24.25,5.346,177.854
FallH,1,476.0,1622,-158.5,2.3,152,-5.3,68.8,2,180.5,47.8,0,24.25,4.0498,176.4502
FallH,1,476.0,1625,-156.6,2.7,132,2.6,70.9,-19,186.3,7.8,0,24.25,16.5443,169.7557
FallH,1,476.0,1627,-145.9,0.8,140,-1.7,59.2,8,174.7,16.5,0,24.25,5.4764,169.2236
FallH,1,476.0,1630,-154.5,5.8,139,-1.1,71.3,3,181.8,21.9,0,24.25,13.0086,168.7914
FallH,1,476.0,1706,-157.4,2.7,147,-6.9,68.3,2,180.9,48.4,0,24.25,6.8637,174.0363
FallH,1,476.0,1709,-155.5,4.7,133,-3.2,82.4,-4,185.0,35.4,0,24.25,22.2524,162.7476
FallH,1,476.0,1722,-158.3,1.4,153,-0.8,70.7,2,180.2,51.5,0,24.25,4.7144,175.4856
FallH,2,415.6,1385,-153.0,5.2,295,-4.4,214.8,-6,182.0,45.0,0,24.25,6.1485,175.8515
FallH,2,415.6,1388,-139.8,0.9,273,-13.5,225.8,-3,169.8,3.2,0,24.25,24.5661,145.2339
FallH,2,415.6,1391,-154.5,5.7,310,-8.1,217.3,10,184.2,19.3,0,24.25,1.7048,182.4952
FallH,2,415.6,1394,-156.1,2.5,303,-14.3,231.3,-7,185.5,32.1,0,24.25,11.3738,174.1262
FallH,2,415.6,1401,-159.2,1.9,307,-5.0,233.7,0,185.3,38.9,0,24.25,10.4315,174.8685
FallH,2,415.6,1404,-147.2,5.8,306,-5.2,213.7,-16,176.8,18.4,0,24.25,1.4582,175.3418
FallH,2,415.6,1408,-159.9,0.6,308,-6.0,217.4,1,183.6,26.6,0,24.25,0.381,183.219
FallH,2,415.6,1411,-152.1,4.7,311,-9.0,237.9,-2,181.8,17.2,0,24.25,10.5851,171.2149
FallH,2,415.6,1454,-153.6,1.8,310,-7.1,219.4,-4,181.8,18.1,0,24.25,0.3863,181.4137
FallH,2,415.6,1457,-159.0,1.7,295,-7.3,222.5,-2,182.6,48.6,0,24.25,11.1033,171.4967
FallH,2,415.6,1460,-154.0,6.2,305,-7.0,215.7,-5,181.3,24.4,0,24.25,0.4515,180.8485
FallH,2,415.6,1463,-159.7,2.0,292,-1.6,222.8,-2,184.5,49.5,0,24.25,13.1357,171.3643
FallH,2,415.6,1465,-156.5,1.6,290,-8.7,226.0,-3,183.5,28.7,0,24.25,16.2255,167.2745
FallH,2,415.6,1468,-158.7,2.8,293,-8.4,230.4,-2,184.2,23.4,0,24.25,17.0488,167.1512
FallH,2,415.6,1471,-153.6,5.6,303,-8.2,211.6,-12,179.2,32.9,0,24.25,0.9059,178.2941
